,0,1,2,3,4,5,6,7,8,9
1,"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Schindler's List (1993),L.A. Confidential (1997),E.T. the Extra-Terrestrial (1982),Mission: Impossible (1996),One Flew Over the Cuckoo's Nest (1975)
2,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)"
3,Star Wars (1977),Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
4,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
5,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
6,Return of the Jedi (1983),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),Terminator 2: Judgment Day (1991),Aliens (1986)
7,Toy Story (1995),Titanic (1997),"Rock, The (1996)",Star Trek: First Contact (1996),L.A. Confidential (1997),Men in Black (1997),Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Conspiracy Theory (1997),"Saint, The (1997)"
8,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
9,Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
10,Return of the Jedi (1983),Contact (1997),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
